date,open,high,low,close,volume,amount
2024-04-29 22:00:00,554.62,555.96,553.94,555.24,2881,67004
2024-04-29 23:00:00,555.28,556.16,555.10,555.54,1893,67005
2024-04-30 00:00:00,555.60,555.82,554.74,555.56,1021,67000
2024-04-30 01:00:00,555.56,556.84,555.46,556.00,1719,67043
2024-04-30 02:00:00,556.00,556.70,555.52,555.90,466,67007
2024-04-30 09:30:00,555.90,556.14,554.36,555.06,1275,66983
2024-04-30 10:45:00,555.04,555.24,553.30,554.06,2768,67377
2024-04-30 13:45:00,554.06,554.32,552.10,552.50,2489,67506
2024-04-30 14:45:00,552.62,553.32,551.68,552.84,5661,67591
2024-04-30 15:00:00,552.72,553.60,552.72,553.32,571,67516
2024-05-06 09:30:00,544.80,548.06,544.80,546.98,5344,67455
2024-05-06 10:45:00,547.04,549.88,546.86,549.14,4557,67724
2024-05-06 13:45:00,549.16,549.28,547.90,549.06,4153,67932
2024-05-06 14:45:00,549.06,549.84,549.06,549.42,2760,68850
2024-05-06 15:00:00,549.60,550.12,549.56,549.92,858,68935
2024-05-06 22:00:00,551.46,553.18,550.56,552.44,5688,69552
2024-05-06 23:00:00,552.54,552.96,550.94,551.22,3349,69779
2024-05-07 00:00:00,551.22,552.26,551.12,552.14,924,69835
2024-05-07 01:00:00,552.14,552.68,550.98,552.16,1650,69721
2024-05-07 02:00:00,552.16,552.30,551.54,552.06,305,69692
2024-05-07 09:30:00,552.06,553.88,551.90,553.04,2816,70366
2024-05-07 10:45:00,553.28,553.54,551.60,551.82,3127,70806
2024-05-07 13:45:00,551.82,552.42,551.20,551.70,1654,70904
2024-05-07 14:45:00,551.70,551.94,550.98,551.62,2685,71381
2024-05-07 15:00:00,551.62,551.76,551.28,551.72,885,71288
2024-05-07 22:00:00,551.02,552.56,550.72,551.74,5807,71265
2024-05-07 23:00:00,551.72,552.20,550.46,550.70,3517,71109
2024-05-08 00:00:00,550.66,551.40,550.52,550.86,1626,71053
2024-05-08 01:00:00,550.88,551.12,550.48,550.70,773,71012
2024-05-08 02:00:00,550.70,551.38,550.38,551.04,829,71034
2024-05-08 09:30:00,551.04,551.18,550.32,550.62,2089,71408
2024-05-08 10:45:00,550.62,551.14,548.90,550.98,4632,72229
2024-05-08 13:45:00,551.00,552.64,550.72,552.06,3344,72259
2024-05-08 14:45:00,552.06,552.12,550.56,551.04,3945,72146
2024-05-08 15:00:00,551.04,551.10,550.52,550.56,498,72032
2024-05-08 22:00:00,551.02,551.44,549.68,549.84,7499,72337
2024-05-08 23:00:00,549.88,551.54,549.76,551.16,2425,72306
2024-05-09 00:00:00,551.16,551.80,550.54,551.68,1699,72365
2024-05-09 01:00:00,551.78,551.90,551.16,551.46,938,72399
2024-05-09 02:00:00,551.46,551.48,550.86,550.90,773,72350
2024-05-09 09:30:00,550.90,550.90,549.72,549.76,5342,72661
2024-05-09 10:45:00,549.76,550.32,549.18,549.40,5023,73220
2024-05-09 13:45:00,549.40,551.40,549.38,550.62,3850,73544
2024-05-09 14:45:00,550.64,550.86,549.84,549.90,1948,73728
2024-05-09 15:00:00,549.96,550.16,549.80,549.80,367,73736
2024-05-09 22:00:00,551.96,552.12,550.12,551.72,5834,73879
2024-05-09 23:00:00,551.72,555.02,551.58,553.62,6595,73911
2024-05-10 00:00:00,553.62,554.24,552.88,553.22,1252,73874
2024-05-10 01:00:00,553.22,553.96,553.10,553.20,486,73833
2024-05-10 02:00:00,553.20,554.10,553.08,554.06,402,73846
2024-05-10 09:30:00,554.06,559.14,553.80,558.62,5764,74513
2024-05-10 10:45:00,558.56,558.82,557.48,557.64,3467,74778
2024-05-10 13:45:00,557.68,560.40,557.62,560.12,3816,75508
2024-05-10 14:45:00,560.14,562.96,559.86,562.86,4011,76928
2024-05-10 15:00:00,562.62,563.16,562.56,563.16,544,76927
2024-05-10 22:00:00,562.34,564.12,560.84,563.20,6295,77083
2024-05-10 23:00:00,562.92,564.22,559.94,560.80,6316,77081
2024-05-11 01:00:00,561.66,563.02,561.02,562.62,912,77277
2024-05-11 02:00:00,562.62,563.16,562.36,563.04,605,77269
2024-05-11 09:30:00,563.04,563.40,562.78,562.88,408,77259
2024-05-13 00:00:00,560.76,562.00,559.72,561.68,3187,77309
2024-05-13 09:30:00,561.94,562.38,559.86,559.86,3013,77171
2024-05-13 10:45:00,560.58,562.06,560.10,561.40,4683,77555
2024-05-13 13:45:00,561.42,561.84,559.72,560.16,3715,77880
2024-05-13 14:45:00,560.22,560.88,559.58,559.66,2668,77814
2024-05-13 15:00:00,559.66,559.76,559.04,559.60,1177,77658
2024-05-13 22:00:00,558.98,559.92,558.20,558.80,5233,78165
2024-05-13 23:00:00,558.80,559.20,558.04,558.86,3494,78328
2024-05-14 00:00:00,558.92,558.92,556.60,557.46,3783,78549
2024-05-14 01:00:00,557.54,557.82,557.20,557.78,1030,78539
2024-05-14 02:00:00,557.78,557.88,557.40,557.52,329,78478
2024-05-14 09:30:00,557.46,558.44,557.30,557.56,2705,78691
2024-05-14 10:45:00,557.56,559.04,557.20,558.42,3921,79105
2024-05-14 13:45:00,558.42,559.40,557.82,559.30,3070,79208
